"﻿Breed","Citysize","Gender","Neutralization","Age","Weight","Color","Adoption","Disease","Behavior","B_D"
"Mix","Small City","Female","No",1,1,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,5.8,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,4.8,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",1,4,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,6.1,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,14.6,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,11.6,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,0.65,"Black","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",1,2.9,"Black&Brown","Yes","No","Positive","PosNo"
"Sporting","Small City","Male","No",9,28,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,7,"Brown","No","Yes","Negative","NegYes"
"Terrier","Medium City","Male","Yes",11,2.7,"Black&Brown","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",2,17.6,"White","No","No","Negative","NegNo"
"Mix","Big City","Female","No",2,15,"Black&Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",8,6.75,"Black&White&Brown","Yes","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",4,8,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,6.8,"White&Brown","No","No","Neutral","NeuNo"
"Mix","Small City","Female","No",1,2,"Etc","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",13,3,"Brown","No","Yes","Negative","NegYes"
"Terrier","Big City","Female","No",6,5.64,"Black","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",4,12,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",2,2,"White&Brown","Yes","No","Negative","NegNo"
"Working","Medium City","Male","No",7,6,"Black","No","Yes","Negative","NegYes"
"Non-Sporting","Small City","Male","Yes",3,5,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",3,2.6,"Brown","No","No","Positive","PosNo"
"Terrier","Medium City","Male","No",8,2.2,"Black&Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Small City","Female","No",5,16.5,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",3,5.2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,3,"Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",4,3,"Black","Yes","Yes","Negative","NegYes"
"Herding","Big City","Male","No",4,10,"White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",2,6,"Brown","No","No","Negative","NegNo"
"Sporting","Medium City","Female","No",3,28.6,"Brown","No","No","Negative","NegNo"
"Mix","Small City","Female","No",1,2.5,"White","No","No","Positive","PosNo"
"Miscellaneous","Big City","Male","No",2,10,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,2.5,"White&Brown","No","No","Positive","PosNo"
"Toy","Small City","Male","No",2,5,"White","No","Yes","Neutral","NeuYes"
"Toy","Medium City","Male","No",5,8,"Black&White&Brown","Yes","Yes","Neutral","NeuYes"
"Mix","Small City","Female","No",1,1,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,0.5,"White&Brown","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",4,3,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,3,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,1,"White&Brown","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,8,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,3,"White&Brown","Yes","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",3,6.2,"Brown","Yes","No","Positive","PosNo"
"Toy","Big City","Male","No",2,3.5,"White","Yes","No","Negative","NegNo"
"Non-Sporting","Metropolis","Male","Yes",7,2,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",5,5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",6,10,"White&Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,2.6,"Brown","No","Yes","Negative","NegYes"
"Toy","Big City","Male","Yes",8,3,"White","Yes","Yes","Neutral","NeuYes"
"Mix","Medium City","Female","No",1,0.6,"Black","No","No","Positive","PosNo"
"Mix","Small City","Male","No",4,4,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",3,12,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,7,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",3,18,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,3,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,1.3,"Brown","Yes","No","Negative","NegNo"
"Miscellaneous","Small City","Male","No",1,8.4,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,1.5,"Brown","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",4,19,"Brown","Yes","No","Positive","PosNo"
"Hound","Medium City","Female","No",2,3.5,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",3,18,"Brown","No","Yes","Negative","NegYes"
"Mix","Metropolis","Male","No",1,1.5,"Brown","No","No","Positive","PosNo"
"Toy","Big City","Male","No",2,2.9,"Brown","Yes","No","Negative","NegNo"
"Miscellaneous","Medium City","Male","No",1,4.5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,10.5,"White","No","No","Negative","NegNo"
"Herding","Medium City","Male","No",3,10.3,"White&Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",4,3,"White","Yes","Yes","Negative","NegYes"
"Herding","Big City","Male","No",2,8.4,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,8.3,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",7,35,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Metropolis","Male","No",4,8,"White","Yes","Yes","Neutral","NeuYes"
"Non-Sporting","Big City","Male","Yes",5,4.3,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,35,"Black","Yes","No","Negative","NegNo"
"Mix","Small City","Male","No",3,13.5,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,5.5,"Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",4,9,"White","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",6,16.9,"Brown","No","No","Neutral","NeuNo"
"Miscellaneous","Small City","Male","No",5,17,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,11.9,"White&Brown","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",2,14,"Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",2,5,"White&Brown","No","No","Negative","NegNo"
"Non-Sporting","Big City","Male","No",1,3.2,"Black","Yes","Yes","Neutral","NeuYes"
"Toy","Medium City","Female","No",4,4,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,6.4,"Black","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,3.6,"White&Brown","No","No","Positive","PosNo"
"Sporting","Small City","Male","No",1,10.4,"White&Brown","Yes","No","Neutral","NeuNo"
"Toy","Medium City","Male","No",4,5.5,"White","Yes","No","Neutral","NeuNo"
"Non-Sporting","Big City","Female","No",2,3,"Brown","Yes","No","Negative","NegNo"
"Miscellaneous","Small City","Female","No",3,15,"Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,3.15,"White&Black","Yes","No","Negative","NegNo"
"Miscellaneous","Big City","Female","No",4,7.5,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",3,15,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,2,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1,"Black&Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",2,4.9,"Black","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,1.6,"White","Yes","No","Negative","NegNo"
"Miscellaneous","Small City","Male","No",1,3,"White","No","No","Positive","PosNo"
"Mix","Big City","Male","No",1,1,"Brown","No","No","Positive","PosNo"
"Non-Sporting","Small City","Male","No",4,5.7,"Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",2,11,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,3.4,"Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",6,2.5,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,12,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,2,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",5,15,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",6,4.2,"Etc","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",4,3.2,"White","Yes","No","Neutral","NeuNo"
"Mix","Big City","Female","No",2,25,"Black","No","No","Negative","NegNo"
"Mix","Small City","Male","No",1,2.5,"White&Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.3,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,5.1,"Black&White&Brown","Yes","No","Neutral","NeuNo"
"Mix","Small City","Female","No",1,1.2,"White","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",1,1.5,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",2,11.48,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,4,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1.5,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Female","No",1,5,"White&Black","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,1.5,"Black&Brown","Yes","No","Neutral","NeuNo"
"Mix","Small City","Female","No",2,1,"Black","No","No","Positive","PosNo"
"Mix","Small City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,17.4,"Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","No",4,4,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Female","No",3,3.9,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",2,5.8,"White","No","No","Negative","NegNo"
"Mix","Big City","Female","No",2,14,"White","Yes","No","Positive","PosNo"
"Toy","Big City","Male","Yes",4,4.1,"White","Yes","No","Negative","NegNo"
"Toy","Medium City","Female","No",12,3.2,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,5,"White&Black","Yes","No","Positive","PosNo"
"Sporting","Big City","Female","No",2,18,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,10,"White","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",6,20,"White","Yes","No","Negative","NegNo"
"Toy","Medium City","Male","No",2,3.5,"White","Yes","No","Positive","PosNo"
"Toy","Big City","Male","No",5,4,"White","Yes","No","Positive","PosNo"
"Sporting","Medium City","Male","Yes",5,14,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,4,"White","Yes","No","Neutral","NeuNo"
"Mix","Small City","Male","No",4,28,"Black&White&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,1.86,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,4.5,"Black&White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,8.3,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,4,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2.5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,3.5,"Brown","No","No","Negative","NegNo"
"Toy","Metropolis","Male","Yes",7,2.9,"White","Yes","No","Negative","NegNo"
"Miscellaneous","Small City","Male","No",1,9,"Black","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",1,0.9,"Brown","Yes","No","Negative","NegNo"
"Toy","Medium City","Female","No",1,3,"White&Black","Yes","No","Negative","NegNo"
"Non-Sporting","Small City","Male","No",2,7,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,25,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,8.6,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,3.3,"White&Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Small City","Male","No",1,1,"White","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",5,8.2,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",4,5,"Brown","No","No","Positive","PosNo"
"Non-Sporting","Big City","Female","No",3,4.1,"Brown","Yes","Yes","Neutral","NeuYes"
"Mix","Small City","Female","No",2,6,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",3,0.5,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,5.4,"Black&White&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",6,7,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,1.7,"White&Black","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",2,11.32,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,11.3,"Black&Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",1,2.4,"White&Black","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Female","No",3,15,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",3,4,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,4,"White&Brown","No","No","Negative","NegNo"
"Toy","Small City","Male","Yes",5,4,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",4,6,"Black&Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",2,2,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",4,13,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Small City","Male","No",4,5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,5,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,6,"Black&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,1.6,"White","No","Yes","Negative","NegYes"
"Mix","Big City","Female","No",3,10,"White","No","No","Neutral","NeuNo"
"Sporting","Medium City","Male","No",1,20,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",11,3.8,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,1,"Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",4,5.8,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,1,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,7,"White&Brown","No","No","Positive","PosNo"
"Mix","Big City","Male","No",2,22,"Black","No","Yes","Neutral","NeuYes"
"Non-Sporting","Big City","Female","No",4,3.86,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",4,5.58,"White","Yes","No","Positive","PosNo"
"Toy","Big City","Male","No",5,3.4,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",4,8,"Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Small City","Male","No",3,5,"Brown","No","Yes","Negative","NegYes"
"Mix","Metropolis","Female","No",1,2.7,"Brown","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",9,3.5,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",5,4.5,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1.5,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,8,"Black","No","No","Positive","PosNo"
"Mix","Big City","Female","No",1,3,"White","No","No","Positive","PosNo"
"Mix","Small City","Female","No",2,17,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,3.7,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",6,8,"Brown","No","Yes","Negative","NegYes"
"Miscellaneous","Medium City","Female","No",3,9,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,12.1,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",4,16,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",6,6.5,"Brown","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",8,3.1,"Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",2,1.5,"White","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","Yes",3,1.8,"White","Yes","Yes","Neutral","NeuYes"
"Mix","Small City","Male","No",2,2,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,8.5,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Female","No",1,4,"Brown","Yes","No","Negative","NegNo"
"Miscellaneous","Big City","Male","No",2,15,"White","Yes","No","Positive","PosNo"
"Toy","Medium City","Female","No",3,6,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",1,2.9,"Black&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",4,8,"White&Brown","No","Yes","Negative","NegYes"
"Toy","Big City","Male","No",1,1.4,"White","Yes","No","Neutral","NeuNo"
"Toy","Medium City","Male","No",6,3.5,"White","No","No","Positive","PosNo"
"Mix","Big City","Male","No",4,6,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,6.5,"Brown","No","Yes","Negative","NegYes"
"Herding","Medium City","Male","No",2,16,"White&Black","No","No","Negative","NegNo"
"Mix","Small City","Female","No",2,1,"Brown","No","No","Positive","PosNo"
"Mix","Metropolis","Female","No",1,4,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",1,4,"White&Black","Yes","No","Positive","PosNo"
"Miscellaneous","Metropolis","Female","No",6,16,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",2,4,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,4.5,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Female","No",5,27,"White","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Female","No",13,3,"Brown","No","Yes","Negative","NegYes"
"Toy","Big City","Male","Yes",4,2.6,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,15,"White","No","No","Positive","PosNo"
"Toy","Medium City","Female","No",3,3,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",2,20,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,2.5,"White&Black","Yes","No","Negative","NegNo"
"Toy","Medium City","Male","No",7,3,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",2,9.2,"Black","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",8,14,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,0.5,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,13,"White","No","No","Neutral","NeuNo"
"Toy","Metropolis","Male","No",2,2.7,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,6.9,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,7.2,"Black","No","No","Negative","NegNo"
"Mix","Big City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",3,7,"Black&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Male","No",3,2.8,"White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",3,14,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",6,26,"Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",3,6,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,2.6,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",4,7,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Female","No",4,10,"Brown","Yes","No","Negative","NegNo"
"Miscellaneous","Big City","Female","No",13,4,"White","No","Yes","Negative","NegYes"
"Toy","Big City","Female","No",7,3.4,"Brown","Yes","No","Positive","PosNo"
"Mix","Metropolis","Female","No",1,2.8,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,16,"White&Brown","No","No","Negative","NegNo"
"Mix","Metropolis","Female","Yes",1,2.9,"Brown","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",3,10,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",3,5,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,2.6,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,28,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",7,5.3,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,16,"White","Yes","No","Negative","NegNo"
"Mix","Small City","Male","No",1,1,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,6,"White&Black","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",6,10,"Brown","No","No","Negative","NegNo"
"Terrier","Medium City","Female","No",8,4.5,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",5,10,"Etc","No","No","Positive","PosNo"
"Toy","Big City","Male","No",2,3.3,"White","Yes","No","Neutral","NeuNo"
"Mix","Small City","Female","No",4,15,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,5,"White&Black","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",6,4.6,"White","No","No","Positive","PosNo"
"Herding","Big City","Male","No",1,3,"White&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Small City","Female","No",3,4,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",5,10,"Brown","No","Yes","Neutral","NeuYes"
"Mix","Big City","Male","No",1,3,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,0.5,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",2,4,"Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",4,5,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,7,"White","Yes","No","Negative","NegNo"
"Mix","Metropolis","Male","No",1,1,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",4,6.5,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1.2,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,15,"Black&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",8,8,"White","No","No","Negative","NegNo"
"Non-Sporting","Big City","Male","No",6,8,"Brown","No","No","Positive","PosNo"
"Miscellaneous","Small City","Male","No",4,17,"White","No","Yes","Negative","NegYes"
"Terrier","Medium City","Male","Yes",5,1.9,"Black&Brown","Yes","No","Negative","NegNo"
"Toy","Big City","Male","No",2,3.4,"White","Yes","Yes","Neutral","NeuYes"
"Mix","Small City","Male","No",1,2,"White&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Small City","Male","No",3,5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.45,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,9.2,"White","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",6,5,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3.4,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,30,"Brown","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","Yes",3,7,"White","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Female","No",1,10,"Black","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",4,7.5,"White&Black","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",4,2.8,"Black&Brown","No","Yes","Neutral","NeuYes"
"Miscellaneous","Medium City","Female","No",8,23,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,12,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,3,"White&Brown","No","No","Positive","PosNo"
"Toy","Big City","Male","Yes",3,3.5,"White","Yes","Yes","Neutral","NeuYes"
"Mix","Small City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,1.5,"White&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","No",14,2.4,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,7,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",4,8,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,9.7,"White","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",1,2,"White&Black","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1.3,"Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",2,8,"White&Black","No","No","Positive","PosNo"
"Mix","Small City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",4,30,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","Yes",2,10,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.3,"White","No","No","Negative","NegNo"
"Working","Medium City","Female","No",4,40,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",5,15.2,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1,"White&Black","Yes","No","Positive","PosNo"
"Miscellaneous","Big City","Male","No",4,12,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",10,4,"White","No","No","Positive","PosNo"
"Toy","Medium City","Male","Yes",6,3,"White","Yes","Yes","Negative","NegYes"
"Mix","Big City","Female","No",1,1.5,"White","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Female","No",2,3,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",1,2,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,4.5,"Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",3,7,"White","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",2,4.3,"Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","Yes",9,1.8,"White","Yes","No","Positive","PosNo"
"Non-Sporting","Small City","Female","No",1,7,"White&Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,7.5,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,4,"Black&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.9,"White&Black","Yes","No","Positive","PosNo"
"Hound","Medium City","Female","No",5,5.4,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",2,13,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,2.8,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,5,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,1.8,"Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",7,2.5,"White","No","Yes","Negative","NegYes"
"Mix","Big City","Female","No",1,4.75,"White","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",9,5.2,"Brown","Yes","No","Positive","PosNo"
